Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_1020	21118000	9987100	32500000	26326000	25159000	54875000
protein_1021	65174000	18098000	48146000	53570000	26165000	225870000
protein_1022	15795000	626520	13927000	18060000	9404700	40096000
protein_1023	223280000	61019000	43901000	200400000	54810000	345640000
protein_1024	66289000	28418000	82197000	54146000	69660000	153180000
protein_1025	75512000	18127000	43005000	104750000	103380000	119640000
protein_1026	6963100	1447500	5082500	13162000	11567000	33920000
protein_1027	20970000	6975200	10024000	8810600	9979500	11070000
protein_1028	799520	150550	736430	237010000	227740000	1463200
protein_1029	42004000	7509500	26229000	4397000	1990600	7972800
protein_1030	88350000	26322000	80494000	11010000	4362300	32167000
protein_1031	109580000	21401000	49765000	107660000	70186000	143610000
protein_1032	23034000	2146700	7981300	49983000	35811000	63462000
protein_1033	3919900	901580	1682300	4799300	0	9951700
protein_1034	13251000	8006600	10618000	14586000	10483000	33297000
protein_1035	10678000	1693500	4988200	14588000	6758300	26464000
protein_1036	1702300000	265410000	455950000	1896600000	1385500000	2460500000
protein_1037	687850000	175770000	465030000	462630000	460600000	1036600000
protein_1038	131630000	51489000	57488000	4144000000	2624100000	5528700000
protein_1039	2484600	449710	1523700	7119000	3047500	17875000
protein_1040	0	0	0	152230000	0	9653200
protein_1041	30378000	9309200	25082000	33055000	36483000	92119000
protein_1042	14736000	1322100	6144600	4844300	3358200	20618000
protein_1043	5770500	2289000	6037900	6622400	7541100	12900000
protein_1044	25871000	5367600	19753000	8551600	9477800	24642000
protein_1045	4674400	5702400	4524900	36559000	31125000	20930000
protein_1046	112420000	12689000	36654000	49794000	68151000	76682000
protein_1047	69839000	13861000	56967000	27540000	20233000	71546000
protein_1048	22742000	2991200	7503300	10512000	9958900	18982000
protein_1049	37872000	10905000	17302000	33143000	32167000	61139000
protein_1050	5961100	0	1571400	5377600	3476600	25701000
protein_1051	6588600	1833800	5410100	30267000	2394500	30035000
protein_1052	29909000	28869000	8435900	40767000	38549000	21842000
protein_1053	63269000	13151000	45105000	52942000	87449000	190340000
protein_1054	6276100	594880	5574500	4100500	4775700	13923000
protein_1055	266990000	36163000	63425000	199020000	166060000	187740000
protein_1056	54813000	8852500	12665000	45293000	77841000	66672000
protein_1057	179010000	35034000	76758000	129080000	122750000	182670000
protein_1058	82911000	52241000	24453000	1120700	0	0
protein_1059	18403000	4612000	8182900	27905000	18972000	51814000
protein_1060	12205000	965150	7857900	15155000	5102700	31525000
protein_1061	7627400	1679200	5291000	2054200	840410	21861000
protein_1062	32643000	5975000	18823000	22290000	6794600	42280000
protein_1063	12800000	4219100	9698900	16953000	12212000	25359000
protein_1064	39143000	3808100	6992800	49760000	5339500	44646000
protein_1065	7691000	2473100	10547000	371890	331440	0
protein_1066	18568000	2232400	9586600	714110	0	0
protein_1067	9964800	4005600	7393200	16657000	8676800	26185000
protein_1068	92587000	24967000	34846000	43305000	75255000	71995000
protein_1069	65487000	17475000	37163000	162860000	109920000	279080000
protein_1070	58804000	9089100	51985000	63084000	32016000	113110000
protein_1071	78516000	23021000	12407000	20611000	27027000	13853000
protein_1072	23632000	3062300	7948900	12116000	8231100	15581000
protein_1073	414990000	108650000	168190000	91020000	120170000	117800000
protein_1074	2455300000	580480000	1404900000	311890000	176840000	451300000
protein_1075	61694000	6262900	19870000	96760000	76218000	144840000
protein_1076	37036000	6056500	26697000	39548000	18289000	84783000
protein_1077	21827000	2305300	9197500	8393400	3064000	73414000
protein_1078	185750000	61505000	152650000	92565000	61870000	201430000
protein_1079	83237	1665600	7318600	826390	0	12275000
protein_1080	22669000	6386800	22925000	30293000	25065000	49613000
protein_1081	191960000	48371000	122040000	116720000	105290000	243890000
protein_1082	3576300	762860	3192100	11616000	4922600	8239700
protein_1083	3664800000	948460000	2188100000	600280000	492650000	1034500000
protein_1084	188080000	47697000	142530000	378040000	312620000	707000000
protein_1085	698340	0	824530	8967500	650660	23321000
protein_1086	49767000	61013000	48558000	143820000	169400000	115400000
protein_1087	14751000	1622300	9316600	7120800	3729600	14166000
protein_1088	11322000	2511600	6816600	18800000	6676000	31322000
protein_1089	6515600	295700	4622300	1773100	4518100	7764700
protein_1090	5145400	288780	7274800	14376000	8399100	31899000
protein_1091	17572000	3188100	6426000	34180000	34771000	44799000
protein_1092	9951200	2944000	8164900	4416500	3987900	7920200
protein_1093	257280000	180180000	251690000	385960000	62905000	553770000
protein_1094	117620000	21135000	19402000	71283000	87826000	68368000
protein_1095	270440000	111830000	67533000	115090000	130880000	131600000
protein_1096	67569000	12764000	26906000	26562000	41591000	33231000
protein_1097	408620000	91763000	253540000	153170000	171090000	282250000
protein_1098	48760000	24035000	36783000	26860000	25343000	25124000
protein_1099	0	0	0	0	3599600000	0
protein_1100	20210000	3034300	14769000	36258000	16943000	41597000
protein_1101	119470000	27659000	72140000	83056000	70973000	127130000
protein_1102	634080000	221750000	370610000	470540000	189120000	759930000
protein_1103	10243000000	1315300000	2614800000	1450000000	2083000000	2069500000
protein_1104	1326800000	334580000	784550000	1253300000	977810000	2198600000
protein_1105	256080000	84116000	148100000	141630000	112520000	227880000
protein_1106	16077000	3718100	10459000	15624000	26995000	40806000
protein_1107	57504000	14235000	43279000	633240	0	0
protein_1108	58283000	76301000	35373000	5046800	15860000	19215000
protein_1109	34413000	9374400	10189000	38419000	68829000	55585000
protein_1110	10368000	1345700	3480100	6024600	7574600	13436000
protein_1111	10574000	1133300	4023200	3637100	7406900	14056000
protein_1112	37765000	14139000	32746000	107850000	69484000	191560000
protein_1113	29134000	5665700	22855000	15544000	8470400	27425000
protein_1114	79857000	19799000	51610000	69791000	38691000	166550000
protein_1115	84676000	23504000	55874000	68342000	44000000	157600000
protein_1116	402660000	160360000	387380000	797110000	313060000	1110800000
protein_1117	45442000	10511000	28391000	28862000	19383000	64374000
protein_1118	41204000	10101000	24642000	29359000	21722000	37999000
protein_1119	34805000	52892000	12790000	36846000	31837000	68615000
protein_1120	7750000	3377100	14438000	527980000	290030000	1132800000
protein_1121	10722000	2763900	10751000	14832000	8162600	27158000
protein_1122	751270	455350	2994700	32996000	27812000	78175000
protein_1123	589880	199350	486970	21647000	18100000	31810000
protein_1124	8655200	2578400	5556100	4740500	10560000	5963600
protein_1125	11106000	2466000	3174500	18802000	21367000	21600000
protein_1126	8340700	5464400	13600000	230290000	119350000	479800000
protein_1127	104290000	19542000	63352000	65868000	41593000	99514000
protein_1128	13115000	2794600	2796800	23987000	21671000	31621000
protein_1129	1498300	440440	3173500	8750200	3436600	16273000
protein_1130	12055000	3336500	9909600	4114400	4503200	6371100
protein_1131	9366300	3232300	14571000	5775000	4874500	23670000
protein_1132	5880400	2093400	2802600	4373400	5892100	11710000
protein_1133	8685900	2407900	167100000	11036000	298520000	46067000
protein_1134	1554400	0	2624400	8985900	252240000	13513000
protein_1135	430980	533480	1255300	10501000	5294800	33885000
protein_1136	5525900	1457000	2764500	11257000	8184700	20096000
protein_1137	1069700	0	0	12007000	6000500	7265900
protein_1138	14924000	2822500	6514700	109630000	115410000	179490000
protein_1139	31865000	9822100	34041000	79935000	45918000	134590000
protein_1140	898410000	242070000	699690000	951290000	557070000	2041000000
protein_1141	23045000	4712400	10130000	8452300	14003000	16667000
protein_1142	57343000	5809700	14055000	68373000	70706000	83090000
protein_1143	57099000	14713000	61732000	148600000	194270000	321950000
protein_1144	18191000	7562700	17189000	2304200	0	4524500
protein_1145	12810000	4643700	10107000	21969000	17811000	36213000
protein_1146	5510700	3016600	6375300	11372000	56084000	19395000
protein_1147	2129600	3654600	6667400	7803300	5955900	20263000
protein_1148	25420000	7852800	203130000	32605000	10910000	65055000
protein_1149	5395000	2473600	4529300	6547900	5572800	46113000
protein_1150	7660000	3363800	8179400	14408000	7407600	16183000
protein_1151	112970000	45414000	96121000	104980000	94330000	215780000
protein_1152	267070000	126990000	46852000	162300000	111050000	135110000
protein_1153	4462700	524450	5399300	15672000	3821500	24656000
protein_1154	3949600	1676000	2224300	7472800	4913800	20576000
protein_1155	8135700	4150900	17979000	19814000	14853000	62042000
protein_1156	83187000	15305000	21358000	109820000	124080000	160130000
protein_1157	10386000	5524800	17225000	4417900	3041100	5001000
protein_1158	28249000	5209500	14806000	6082100	277060	603160
protein_1159	3604500	1283000	2377300	2854800	2498600	5421400
protein_1160	26730000	18310000	22763000	47616000	27706000	104150000
protein_1161	4535700	1470400	25505000	4832500	48796000	9029400
protein_1162	18676000	883680	16204000	4944700	15534000	10785000
protein_1163	73288000	0	569400	489450	1395600	4013900
protein_1164	0	807310000	1996000	9554500	0	0
protein_1165	11714000	60293000	118470000	7621200	9025600	165200000
protein_1166	3750000	1095300	3631100	2200500	6258900	13381000
protein_1167	19158000	731430	4875900	11413000	5769800	17118000
protein_1168	5064700	0	0	19905000	0	0
protein_1169	2209500	2634700	37136000	0	1838600	147230000
protein_1170	0	0	0	23373000	12814000	46314000
protein_1171	13834000	5259400	0	39115000	62655000	28601000
protein_1172	5650900	0	12729000	82648000	590670	105400000
protein_1173	2931700	2833800	3988300	2496500	3583200	6267200
protein_1174	41161000	8920400	50630000	0	59409000	138120000
protein_1175	1928700	0	3838500	4307700	5078500	43871000
protein_1176	142560	7701600	0	15449000	14805000	0
protein_1177	0	16901000	0	0	0	0
protein_1178	266600000	45957000	139950000	449230000	375040000	670140000
protein_1179	652540	725510	335160000	1490700	815560	3699700
protein_1180	0	0	401980	216180000	3746600	0
protein_1181	0	0	163340000	5827400	0	0
protein_1182	1234600	250890	1000900	6855500	13532000	13110000
protein_1183	10867000	0	0	16187000	8867100	19472000
protein_1184	5973800	163590	351510	9398100	8547600	24235000
protein_1185	16022000	3018800	17347000	12482000	0	110840000
protein_1186	0	0	2433900	0	0	0
protein_1187	353480	10807000	0	0	0	3602400
protein_1188	0	0	0	0	0	134000000
protein_1189	10930000	463900	1662400	3506200	6860200	1761800
protein_1190	160410000	71877000	0	65169000	0	64829000
protein_1191	0	4212300	0	0	0	28506000
protein_1192	3126200000	1821600000	1316300000	2931600000	2064500000	1383400000
protein_1193	406450000	335100000	323640000	175880000	193470000	167110000
protein_1194	29272000	17345000	0	8514500	14347000	19048000
protein_1195	5172700	213830	1521800	2438800	1979600	2589100
protein_1196	32259000	3787400	25084000	0	19943000	2169700
protein_1197	7147000000	9311500000	4811500000	5408400000	7700700000	7012500000
protein_1198	39052000	7568700	4832300	7792500	2595500	0
