Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_672	26588000	11569000	8447500	26220000	31702000	31141000
protein_673	26173000	3459700	19078000	30086000	21310000	65572000
protein_674	18236000	4122600	10778000	14526000	19284000	38749000
protein_675	484260000	115300000	401370000	715010000	431810000	1228900000
protein_676	117790000	42541000	118380000	40753000	58682000	164960000
protein_677	1219600	370070	2275400	14102000	5690700	23100000
protein_678	4726000	507510	5192400	5534700	4794300	15025000
protein_679	21736000	8534200	16243000	15815000	10829000	33700000
protein_680	502920000	183080000	384980000	519230000	437690000	955600000
protein_681	251340000	44569000	78606000	142180000	185960000	198010000
protein_682	31422000	9952900	29635000	68317000	25235000	115020000
protein_683	234210000	89052000	417080000	221410000	198830000	550670000
protein_684	22070000	5299700	19315000	14278000	11175000	24296000
protein_685	74337000	15541000	33284000	32437000	46759000	70473000
protein_686	7029800	153370	4847700	1851900	4068200	16912000
protein_687	40225000	7254700	25710000	26996000	23278000	44450000
protein_688	164110000	61439000	50119000	84999000	94356000	88273000
protein_689	4879800	3113500	8009400	12267000	11274000	21004000
protein_690	592720000	184140000	244870000	495200000	668370000	709040000
protein_691	65504000	31823000	15921000	75182000	81787000	49818000
protein_692	155640000	34382000	94938000	102620000	62515000	202750000
protein_693	35273000	5219200	21797000	23261000	14645000	39955000
protein_694	10810000	2129300	7866600	18824000	5914100	22606000
protein_695	66602000	12847000	28475000	12132000	13694000	23078000
protein_696	155830000	68656000	80378000	160960000	278250000	294990000
protein_697	23208000	9591000	22285000	24212000	19610000	82144000
protein_698	45644000	1761300	7300600	15834000	7195700	18591000
protein_699	13643000	1902600	15366000	42166000	12790000	66066000
protein_700	135270000	30189000	98509000	122740000	48252000	199720000
protein_701	67389000	7553200	32199000	50332000	26118000	104390000
protein_702	18422000	3003100	3729000	23249000	19521000	48615000
protein_703	17022000	4414700	7555300	9601800	10444000	11673000
protein_704	17232000	4800800	21853000	33121000	20452000	73450000
protein_705	14699000	3151900	3411500	5882800	7621300	12427000
protein_706	53769000	9891200	35285000	67540000	61907000	158300000
protein_707	45295000	6552000	28554000	55379000	38583000	101610000
protein_708	20083000	4030400	14300000	14490000	9894200	32004000
protein_709	3837800	974720	3085800	7033800	4106800	16409000
protein_710	48208000	8269600	41888000	82475000	55886000	164820000
protein_711	116260000	56700000	125200000	102980000	61426000	235850000
protein_712	234940000	79059000	206920000	314210000	146470000	587560000
protein_713	144120000	15951000	53135000	5634200000	4753700000	552790000
